,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
251,CITY POLYTECHNIC HIGH SCHOOL,16,36,28,36,114,38
252,DR SUSAN S MCKINNEY SEC SCH-ARTS,0,39,0,55,212,27
253,GEORGE WESTINGHOUSE CAREER/TECH HS,3,8,13,62,218,7
254,GOTHAM PROFESSIONAL ARTS ACADEMY,7,13,7,33,87,10
255,SCIENCE SKILLS CENTER HIGH SCHOOL,9,29,15,47,201,19
256,URBAN ASSEMBLY INST OF MATH AND SCIE,0,24,21,26,149,26
257,URBAN ASSEMBLY SCHOOL FOR MUSIC-ART,7,57,21,14,102,41
258,URBAN ASSMBLY SCH-LAW & JSTCE,0,20,13,37,118,20
259,A-TECH HIGH SCHOOL,0,50,38,25,165,41
260,BROOKLYN LATIN SCHOOL (THE),2,14,7,39,199,13
261,BROOKLYN PREPARATORY HS,0,22,9,25,174,29
262,EAST WILLIAMSBURG SCHOLARS,0,23,3,55,206,16
263,EL PUENTE ACAD FOR PEACE AND JUSTICE,0,13,13,40,85,12
264,"HIGH SCHOOL-ENTERPRISE, BUS & TECH",4,28,15,42,268,21
265,JUAN MOREL CAMPOS SECONDARY SCHOOL,8,33,6,37,268,33
266,LYONS COMMUNITY SCHOOL,6,20,14,41,196,18
267,PROGRESS HS-PROFESSIONAL CAREERS,6,46,18,34,290,34
268,WILLAMSBURG HS-ARCH & DESIGN,0,21,6,32,159,14
269,WILLIAMSBURG HS-ART-TECH,8,46,4,50,131,39
270,WILLIAMSBURG PREPARATORY SCHOOL,0,9,2,51,257,7
271,YOUNG WOMENS LEADERSHIP SCH-BROOKLY,0,89,7,18,188,60
272,BOERUM HILL SCHOOL FOR INTERNATIONAL,5,56,39,24,246,41
273,BROOKLYN COLLABORATIVE STUDIES,0,25,8,36,317,24
274,BROOKLYN FRONTIERS HIGH SCHOOL,0,31,23,27,99,26
275,BROOKLYN HIGH SCHOOL OF THE ARTS,0,28,13,44,265,22
276,COBBLE HILL SCHOOL OF AMERICAN STUD,3,29,24,35,167,20
277,CYBERARTS STUDIO ACADEMY,0,0,7,33,68,3
278,DIGITAL ARTS AND CINEMA HS,0,11,11,32,84,10
279,JOHN JAY SCHOOL FOR LAW ,4,33,37,30,140,29
280,KHALIL GIBRAN INTERNATIONAL ACADEMY,0,17,26,22,109,17
281,MILLENNIUM BROOKLYN HIGH SCHOOL,5,23,10,36,243,21
282,PARK SLOPE COLLEGIATE,4,13,24,26,193,13
283,SOUTH BROOKLYN COMM HIGH SCHOOL,0,50,17,42,86,33
284,SUNSET PARK HIGH SCHOOL,3,24,28,33,491,15
285,WEST BROOKLYN COMMUNITY HIGH SCHOOL,6,63,6,44,112,48
286,BOYS AND GIRLS HIGH SCHOOL,4,35,19,46,163,31
287,BROOKLYN HIGH SCHOOL-LAW AND TECH,0,46,16,27,247,32
288,BROOKYLN ACAD OF GLOBAL FINANCE (THE,0,33,11,56,53,21
289,"MS 267 MATH, SCIENCE & TECHNOLOGY",11,11,11,37,60,12
290,NELSON MANDELA HIGH SCHOOL,6,35,6,41,82,28
291,PS 308 CLARA CARDWELL,3,29,3,59,201,25
292,RESEARCH AND SERVICE HIGH SCHOOL,0,50,7,43,71,38
293,WHITELAW REID ACAD ARTS-BUSINESS,0,36,18,18,112,36
294,ACAD FOR COLLEGE PREP AND CAREER EXP,0,17,0,39,135,13
295,ACADEMY FOR HEALTH CAREERS,8,23,12,23,122,19
296,ACADEMY OF HOSPITALITY AND TOURISM,0,13,7,60,78,8
297,BROOKLYN ACADEMY OF SCI & ENVIRON,0,50,0,67,150,28
298,BROOKLYN INSTITUTE FOR LIBERAL ARTS,4,44,52,4,143,37
299,BROOKLYN SCHOOL FOR MUSIC & THEATER,5,59,18,59,136,35
300,BROWNSVILLE  ACADEMY HIGH SCHOOL,10,50,10,40,74,36
301,CLARA BARTON HIGH SCHOOL,0,16,5,56,325,10
302,EBBETS FIELD MIDDLE SCHOOL,0,5,5,48,93,2
303,HIGH SCH FOR GLOBAL CITIZENSHIP,14,21,29,29,67,16
304,HIGH SCHOOL-SVC & LRNG,0,30,25,35,98,24
