,school_name,attendance
368,FREDERICK DOUGLASS ACADEMY VII,78
369,GREGORY JOCKO JACKSON-SPORTS-ARTS,92
370,METROPOLITAN DIPLOMA PLUS HIGH SCH,65
371,PS 184 NEWPORT,89
372,TEACHERS PREPARATORY HIGH SCHOOL,80
373,ACADEMY-FINANCE & ENTERPRISE,92
374,AVIATION CAREER AND TECH ED HS,96
375,BARD HIGH SCH EARLY COLLEGE QUEENS,97
376,CIVIC LEADERSHIP ACADEMY,91
377,GROVER CLEVELAND HIGH SCHOOL,83
378,HIGH SCHOOL FOR ARTS & BUSINESS ,91
379,HS-APPLIED COMMUNICATIONS,87
380,INTERNATIONAL HS FOR HEALTH SCIENCES,89
381,INTNTL HIGH SCHOOL AT LA GUARDIA,92
382,IS 5 WALTER CROWLEY INTERMEDIATE,97
383,MASPETH HIGH SCHOOL,92
384,MIDDLE COLLEGE HIGH SCH AT LAGUARDIA,93
385,NEWTOWN HIGH SCHOOL,86
386,PAN AMERICAN INTERNATIONAL HS,91
387,QUEENS TECHNICAL HIGH SCHOOL,90
388,ROBERT F WAGNER JR SECONDARY SCHOOL,91
389,VOYAGES PREPARATORY,54
390,EAST-WEST SCHOOL OF INTERNATION STUD,94
391,FLUSHING HIGH SCHOOL,85
392,FLUSHING INTRNL HIGH SCHOOL,89
393,JOHN BOWNE HIGH SCHOOL,85
394,NORTH QUEENS COMMUNITY HIGH SCHOOL,57
395,QUEENS ACADEMY HIGH SCHOOL,51
396,QUEENS HS FOR LANGUAGE STUDIES,95
397,QUEENS SCHOOL OF INQUIRY (THE),95
398,ROBERT F KENNEDY COMMUNITY HS,92
399,TOWNSEND HARRIS HIGH SCHOOL,97
400,VERITAS ACADEMY,90
401,WORLD JOURNALISM PREPARATORY,93
402,BAYSIDE HIGH SCHOOL ,92
403,BENJAMIN N CARDOZO HIGH SCHOOL,93
404,FRANCIS LEWIS HIGH SCHOOL,91
405,MARTIN VAN BUREN HIGH SCHOOL,83
406,QUEENS HIGH SCHOOL OF TEACHING,91
407,ACADEMY OF MEDICAL TECHNOLOGY,87
